"persons-name","persons-birth_date","persons-sources","persons-summary","persons-image","persons-name","organizations-name","organizations-classification","posts-label","posts-role","posts-cargonominal","posts-cargotipo","posts-cargoclase","posts-duracioncargo","memberships-label","memberships-role","memberships-cargonominal","memberships-start_date","memberships-end_date","memberships-end_date_accuracy","memberships-start_date_accuracy"
"Griselda Noemi Herrera","","","","","Griselda Noemi Herrera","La Rioja","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Luis Alfredo Ilarregui","","","","","Luis Alfredo Ilarregui","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Miguel Angel Iturrieta","","","","","Miguel Angel Iturrieta","Misiones","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Emilio Kakubur","","","","","Emilio Kakubur","Misiones","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Daniel Ricardo Kroneberger","","","","","Daniel Ricardo Kroneberger","La Pampa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Jose Eduardo Lauritto","","","","","Jose Eduardo Lauritto","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Carlos Miguel Kunkel","","","","","Carlos Miguel Kunkel","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Julio Ruben Ledemsa","","","","","Julio Ruben Ledemsa","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Julio Ruben Ledesma","","","","","Julio Ruben Ledesma","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Silvia Beatriz Lemos","","","","","Silvia Beatriz Lemos","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Edith Olga Llanos","","","","","Edith Olga Llanos","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Maria Beatriz Lenz","","","","","Maria Beatriz Lenz","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Ernesto Segundo López","","","","","Ernesto Segundo López","San Juan","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Eduardo Lorenzo Borocoto","","","","","Eduardo Lorenzo Borocoto","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Luis Lusquiños","","","","","Luis Lusquiños","San Luis","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Omar Bruno De Marchi","","","","","Omar Bruno De Marchi","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Mauricio Macri","","","","https://pbs.twimg.com/profile_images/432981703720579072/csMdPWWk.jpeg","Mauricio Macri","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2007-12-09","",""
"Aldo Juan Marconetto","","","","","Aldo Juan Marconetto","Chubut","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Mercedes Marco Del Pont","1959-08-28","","Economista, enrolada en la corriente desarrollista o estructuralista. Se ha desempeñado como diputada nacional (2005–2008), presidenta del Banco de la Nación Argentina (2008–2010) y presidenta del Banco Central de la República Argentina (2010-2013)","","Mercedes Marco Del Pont","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2008-12-10","",""
"Adriana Del Carmen Marino","","","","","Adriana Del Carmen Marino","San Juan","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Maria Elena Martin","","","","","Maria Elena Martin","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Emilio Raul Martinez Garbino","","","","","Emilio Raul Martinez Garbino","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Sergio Massa","","","","http://upload.wikimedia.org/wikipedia/commons/2/22/Sergio_Massa.jpg","Sergio Massa","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2005-12-10","year","year"
"Oscar Ermelindo Massei","","","","","Oscar Ermelindo Massei","Neuquén","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Maria Carolina Moises","","","","","Maria Carolina Moises","Jujuy","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Carlos Julio Moreno","","","","","Carlos Julio Moreno","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Norma Elena Morandini","","","","","Norma Elena Morandini","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Eva Garcia De Moreno","","","","","Eva Garcia De Moreno","Chubut","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Claudio Marcelo Morgado","","","","","Claudio Marcelo Morgado","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Juan Pedro Morini","","","","","Juan Pedro Morini","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Mabel Hilda Muller","","","","","Mabel Hilda Muller","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Francisco De Narvaez","","","","","Francisco De Narvaez","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Lidia Lucia Naim","","","","","Lidia Lucia Naim","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Mario Alejandro Nieva","","","","","Mario Alejandro Nieva","Jujuy","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Julian Martin Obligio","","","","","Julian Martin Obligio","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Cristian Rodolfo Oliva","","","","","Cristian Rodolfo Oliva","Santiago del Estero","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Marta Lucia Osorio","","","","","Marta Lucia Osorio","La Pampa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Maria Ilse Oscos","","","","","Maria Ilse Oscos","Neuquén","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Blanca Ines Osuna","","","","","Blanca Ines Osuna","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Eduardo Antonio Pastoriza","","","","","Eduardo Antonio Pastoriza","Catamarca","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Maria De Los Angeles Petit","","","","","Maria De Los Angeles Petit","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Julio Juan Piumato","","","","","Julio Juan Piumato","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Claudio Javier Poggi","","","","","Claudio Javier Poggi","San Luis","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Hector Norberto Porto","","","","","Hector Norberto Porto","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Elsa Siria Quiroz","","","","","Elsa Siria Quiroz","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Hector Pedro Recalde","","","","","Hector Pedro Recalde","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Carlos Alberto Raimundi","","","","","Carlos Alberto Raimundi","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Ana Maria Del Carmen Del Riccio","","","","","Ana Maria Del Carmen Del Riccio","Formosa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Maria Del Carmen Cecilia Rico","","","","","Maria Del Carmen Cecilia Rico","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Marcela Virginia Rodríguez","","","","","Marcela Virginia Rodríguez","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Liliana Beatriz Rojkes De Alperovich","","","","","Liliana Beatriz Rojkes De Alperovich","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Carmen Roman","","","","","Carmen Roman","Formosa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"José María Roldan","","","","","José María Roldan","Corrientes","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Graciela Zulema Rosso","","","","","Graciela Zulema Rosso","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Agustin Oscar Rossi","","","","","Agustin Oscar Rossi","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Angel Rozas","","","","","Angel Rozas","Chaco","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Juan Arturo Salim","","","","","Juan Arturo Salim","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Osvaldo Salum","","","","","Osvaldo Salum","Salta","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Mario Armando Santander","","","","","Mario Armando Santander","La Rioja","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Silvia Estela Sapag","","","","","Silvia Estela Sapag","Neuquén","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Jorge Sarghini","","","","","Jorge Sarghini","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Laura Judith Sesma","","","","","Laura Judith Sesma","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Ester Aida Schiavoni","","","","","Ester Aida Schiavoni","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2006-01-25","",""
"Carlos Daniel Snopek","","","","","Carlos Daniel Snopek","Jujuy","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Raul Patricio Solanas","","","","","Raul Patricio Solanas","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Gladys Beatriz Soto","","","","","Gladys Beatriz Soto","Chaco","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Paola Rosana Spatola","","","","","Paola Rosana Spatola","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Hugo Guillermo Storero","","","","","Hugo Guillermo Storero","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Juan Hector Sylvestre Begnis","","","","","Juan Hector Sylvestre Begnis","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Enrique Luis Thomas","","","","","Enrique Luis Thomas","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Adriana Elisa Tomas","","","","","Adriana Elisa Tomas","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Pablo Gabriel Tonelli","","","","","Pablo Gabriel Tonelli","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Maria Angelica Torrontegui","","","","","Maria Angelica Torrontegui","San Luis","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"José María Uñac","","","","","José María Uñac","San Juan","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Jose Ruben Uñac","","","","","Jose Ruben Uñac","San Juan","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Patricia Vaca Narvaja","","","","","Patricia Vaca Narvaja","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Sergio Fausto Varisco","","","","","Sergio Fausto Varisco","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Marta Sylvia Velarde","","","","","Marta Sylvia Velarde","Santiago del Estero","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Jorge Antonio Villaverde","","","","","Jorge Antonio Villaverde","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Mariano Federico West","","","","","Mariano Federico West","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Pablo Ventura Zancada","","","","","Pablo Ventura Zancada","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-12-10","2009-12-09","",""
"Darío Giustozzi","","","","","Darío Giustozzi","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2005-10-12","2007-10-12","",""
"Maria Julia Acosta","","","","","Maria Julia Acosta","Catamarca","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Walter Alfredo Agosto","","","","","Walter Alfredo Agosto","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Cesar Alfredo Albrisi","","","","","Cesar Alfredo Albrisi","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2010-04-14","",""
"Horacio Alberto Alcuaz","","","","","Horacio Alberto Alcuaz","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Juan José Alvarez","","","","","Juan José Alvarez","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"German Enrique Alfaro","","","","","German Enrique Alfaro","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Jose Ameguino Arbo","","","","","Jose Ameguino Arbo","Corrientes","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Antonio Anibal Alizegui","","","","","Antonio Anibal Alizegui","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Hector Jorge Alvaro","","","","","Hector Jorge Alvaro","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Mario Rolando Ardid","","","","","Mario Rolando Ardid","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2009-12-09","",""
"Maria Josefa Areta","","","","","Maria Josefa Areta","Corrientes","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Daniel E. Asef","","","","","Daniel E. Asef","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Griselda Angela Baldata","","","","","Griselda Angela Baldata","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Octavio Argüello","","","","","Octavio Argüello","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Nelida Belous","","","","","Nelida Belous","Tierra del Fuego","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Miguel Angel Barrios","","","","","Miguel Angel Barrios","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Sergio Ariel Basteiro","","","","","Sergio Ariel Basteiro","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Nora Esther Bedano","","","","","Nora Esther Bedano","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Veronica Claudia Benas","","","","","Veronica Claudia Benas","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Patricia Bullrich","","","","","Patricia Bullrich","Argentina","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-10","year","year"
"Ivana Maria Bianchi","","","","","Ivana Maria Bianchi","San Luis","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Gloria Mercedes Bidegain","","","","","Gloria Mercedes Bidegain","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Miguel Luis Bonasso","","","","","Miguel Luis Bonasso","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Patricia Bullrich","","","","","Patricia Bullrich","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Graciela Camaño","","","","","Graciela Camaño","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Hector Eduardo Del Campillo","","","","","Hector Eduardo Del Campillo","Córdoba","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Maria Cristina Cremer De Busti","","","","","Maria Cristina Cremer De Busti","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Maria Adela Calchaqui","","","","","Maria Adela Calchaqui","Tierra del Fuego","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Elisa Beatriz Carca","","","","","Elisa Beatriz Carca","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Graciela Maria Caselles","","","","","Graciela Maria Caselles","San Juan","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Rosa Laudelina Chiquichano","","","","","Rosa Laudelina Chiquichano","Chubut","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Jorge Alberto Cejas","","","","","Jorge Alberto Cejas","Río Negro","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Norah Susana Castaldo","","","","","Norah Susana Castaldo","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Alicia Marcela Comelli","","","","","Alicia Marcela Comelli","Neuquén","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Robert Vicent Cortina","","","","","Robert Vicent Cortina","Ciudad de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Ricardo Oscar Cuccovillo","","","","","Ricardo Oscar Cuccovillo","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Jose Cesar Gustavo Cusinato","","","","","Jose Cesar Gustavo Cusinato","Entre Ríos","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Zulema Beatriz Daher","","","","","Zulema Beatriz Daher","Salta","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Viviana Monica Damilano Grivarello","","","","","Viviana Monica Damilano Grivarello","Chaco","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Carlos Alfredo Dato","","","","","Carlos Alfredo Dato","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Susana Eladia Díaz","","","","","Susana Eladia Díaz","Tucumán","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Victoria Analia Donda Perez","","","","","Victoria Analia Donda Perez","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"José María Diaz Bancalari","","","","","José María Diaz Bancalari","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Carlos Guillermo Donkin","","","","","Carlos Guillermo Donkin","Formosa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Alberto Gustavo Dutto","","","","","Alberto Gustavo Dutto","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Norberto Pedro Erro","","","","","Norberto Pedro Erro","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Patricia Susana Fadel","","","","","Patricia Susana Fadel","Mendoza","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Monica Haydee Fein","","","","","Monica Haydee Fein","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Eduardo Alfredo Fellner","","","","","Eduardo Alfredo Fellner","Jujuy","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Luis Maria Fernandez Basualdo","","","","","Luis Maria Fernandez Basualdo","Formosa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2010-10-19","",""
"Paulina Esther Fiol","","","","","Paulina Esther Fiol","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Susana Rosa García","","","","","Susana Rosa García","Santa Fe","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Héctor Flores","","","","","Héctor Flores","Provincia de Buenos Aires","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
"Irma Adriana García","","","","","Irma Adriana García","La Pampa","","Diputado","Diputado","Diputado","Legislativo","Electivo","4","Diputado","Diputado","Diputado","2007-12-10","2011-12-09","",""
